label,country,continent,bioproject
ERR1135178,France,Europe,PRJEB11755
ERR1135179,France,Europe,PRJEB11755
ERR1135180,France,Europe,PRJEB11755
ERR1135181,France,Europe,PRJEB11755
ERR1135182,France,Europe,PRJEB11755
ERR1135183,France,Europe,PRJEB11755
ERR1135184,France,Europe,PRJEB11755
ERR1135185,France,Europe,PRJEB11755
ERR1135186,France,Europe,PRJEB11755
ERR1135187,France,Europe,PRJEB11755
ERR1135188,France,Europe,PRJEB11755
ERR1135189,France,Europe,PRJEB11755
ERR1135190,France,Europe,PRJEB11755
ERR1135191,France,Europe,PRJEB11755
ERR1135192,France,Europe,PRJEB11755
ERR1135193,France,Europe,PRJEB11755
ERR1135194,France,Europe,PRJEB11755
ERR1135195,France,Europe,PRJEB11755
ERR1135196,France,Europe,PRJEB11755
ERR1135197,France,Europe,PRJEB11755
ERR1135198,France,Europe,PRJEB11755
ERR1135199,France,Europe,PRJEB11755
ERR1135200,France,Europe,PRJEB11755
ERR1135201,France,Europe,PRJEB11755
ERR1135202,France,Europe,PRJEB11755
ERR1135203,France,Europe,PRJEB11755
ERR1135204,France,Europe,PRJEB11755
ERR1135205,France,Europe,PRJEB11755
ERR1135206,France,Europe,PRJEB11755
ERR1135207,France,Europe,PRJEB11755
ERR1135208,France,Europe,PRJEB11755
ERR1135209,France,Europe,PRJEB11755
ERR1135210,France,Europe,PRJEB11755
ERR1135211,France,Europe,PRJEB11755
ERR1135212,France,Europe,PRJEB11755
ERR1135213,France,Europe,PRJEB11755
ERR1135214,France,Europe,PRJEB11755
ERR1135215,France,Europe,PRJEB11755
ERR1135216,France,Europe,PRJEB11755
ERR1135217,France,Europe,PRJEB11755
ERR1135218,France,Europe,PRJEB11755
ERR1135219,France,Europe,PRJEB11755
ERR1135220,France,Europe,PRJEB11755
ERR1135221,France,Europe,PRJEB11755
ERR1135222,France,Europe,PRJEB11755
ERR1135223,France,Europe,PRJEB11755
ERR1135224,France,Europe,PRJEB11755
ERR1135225,France,Europe,PRJEB11755
ERR1135226,France,Europe,PRJEB11755
ERR1135227,France,Europe,PRJEB11755
ERR1135228,France,Europe,PRJEB11755
ERR1135229,France,Europe,PRJEB11755
ERR1135230,France,Europe,PRJEB11755
ERR1135231,France,Europe,PRJEB11755
ERR1135232,France,Europe,PRJEB11755
ERR1135233,France,Europe,PRJEB11755
ERR1135234,France,Europe,PRJEB11755
ERR1135235,France,Europe,PRJEB11755
ERR1135236,France,Europe,PRJEB11755
ERR1135237,France,Europe,PRJEB11755
ERR1135238,France,Europe,PRJEB11755
ERR1135239,France,Europe,PRJEB11755
ERR1135240,France,Europe,PRJEB11755
ERR1135241,France,Europe,PRJEB11755
ERR1135242,France,Europe,PRJEB11755
ERR1135243,France,Europe,PRJEB11755
ERR1135244,France,Europe,PRJEB11755
ERR1135245,France,Europe,PRJEB11755
ERR1135246,France,Europe,PRJEB11755
ERR1135247,France,Europe,PRJEB11755
ERR1135248,France,Europe,PRJEB11755
ERR1135249,France,Europe,PRJEB11755
ERR1135250,France,Europe,PRJEB11755
ERR1135251,France,Europe,PRJEB11755
ERR1135252,France,Europe,PRJEB11755
ERR1135253,France,Europe,PRJEB11755
ERR1135254,France,Europe,PRJEB11755
ERR1135255,France,Europe,PRJEB11755
ERR1135256,France,Europe,PRJEB11755
ERR1135257,France,Europe,PRJEB11755
ERR1135258,France,Europe,PRJEB11755
ERR1135259,France,Europe,PRJEB11755
ERR1135260,France,Europe,PRJEB11755
ERR1135261,France,Europe,PRJEB11755
ERR1135262,France,Europe,PRJEB11755
ERR1135263,France,Europe,PRJEB11755
ERR1135264,France,Europe,PRJEB11755
ERR1135265,France,Europe,PRJEB11755
ERR1135266,France,Europe,PRJEB11755
ERR1135267,France,Europe,PRJEB11755
ERR1135268,France,Europe,PRJEB11755
ERR1135269,France,Europe,PRJEB11755
ERR1135270,France,Europe,PRJEB11755
ERR1135271,France,Europe,PRJEB11755
ERR1135272,France,Europe,PRJEB11755
ERR1135273,France,Europe,PRJEB11755
ERR1135274,France,Europe,PRJEB11755
ERR1135275,France,Europe,PRJEB11755
ERR1135276,France,Europe,PRJEB11755
ERR1135277,France,Europe,PRJEB11755
ERR1135278,Denmark,Europe,PRJEB11755
ERR1135279,Denmark,Europe,PRJEB11755
ERR1135280,Denmark,Europe,PRJEB11755
ERR1135281,Denmark,Europe,PRJEB11755
ERR1135282,Denmark,Europe,PRJEB11755
ERR1135283,Denmark,Europe,PRJEB11755
ERR1135284,Denmark,Europe,PRJEB11755
ERR1135285,Denmark,Europe,PRJEB11755
ERR1135286,Denmark,Europe,PRJEB11755
ERR1135287,Denmark,Europe,PRJEB11755
ERR1135288,Denmark,Europe,PRJEB11755
ERR1135289,Denmark,Europe,PRJEB11755
ERR1135290,Denmark,Europe,PRJEB11755
ERR1135291,Denmark,Europe,PRJEB11755
ERR1135292,Denmark,Europe,PRJEB11755
ERR1135293,Denmark,Europe,PRJEB11755
ERR1135294,Denmark,Europe,PRJEB11755
ERR1135295,Denmark,Europe,PRJEB11755
ERR1135296,Denmark,Europe,PRJEB11755
ERR1135297,Denmark,Europe,PRJEB11755
ERR1135298,Denmark,Europe,PRJEB11755
ERR1135299,Denmark,Europe,PRJEB11755
ERR1135300,Denmark,Europe,PRJEB11755
ERR1135301,Denmark,Europe,PRJEB11755
ERR1135302,Denmark,Europe,PRJEB11755
ERR1135303,Denmark,Europe,PRJEB11755
ERR1135304,Denmark,Europe,PRJEB11755
ERR1135305,Denmark,Europe,PRJEB11755
ERR1135306,Denmark,Europe,PRJEB11755
ERR1135307,Denmark,Europe,PRJEB11755
ERR1135308,Denmark,Europe,PRJEB11755
ERR1135309,Denmark,Europe,PRJEB11755
ERR1135310,Denmark,Europe,PRJEB11755
ERR1135311,Denmark,Europe,PRJEB11755
ERR1135312,Denmark,Europe,PRJEB11755
ERR1135313,Denmark,Europe,PRJEB11755
ERR1135314,Denmark,Europe,PRJEB11755
ERR1135315,Denmark,Europe,PRJEB11755
ERR1135316,Denmark,Europe,PRJEB11755
ERR1135317,Denmark,Europe,PRJEB11755
ERR1135318,Denmark,Europe,PRJEB11755
ERR1135319,Denmark,Europe,PRJEB11755
ERR1135320,Denmark,Europe,PRJEB11755
ERR1135321,Denmark,Europe,PRJEB11755
ERR1135322,Denmark,Europe,PRJEB11755
ERR1135323,Denmark,Europe,PRJEB11755
ERR1135324,Denmark,Europe,PRJEB11755
ERR1135325,Denmark,Europe,PRJEB11755
ERR1135326,Denmark,Europe,PRJEB11755
ERR1135327,Denmark,Europe,PRJEB11755
ERR1135328,Denmark,Europe,PRJEB11755
ERR1135329,Denmark,Europe,PRJEB11755
ERR1135330,Denmark,Europe,PRJEB11755
ERR1135331,Denmark,Europe,PRJEB11755
ERR1135332,Denmark,Europe,PRJEB11755
ERR1135333,Denmark,Europe,PRJEB11755
ERR1135334,Denmark,Europe,PRJEB11755
ERR1135335,Denmark,Europe,PRJEB11755
ERR1135336,Denmark,Europe,PRJEB11755
ERR1135337,Denmark,Europe,PRJEB11755
ERR1135338,Denmark,Europe,PRJEB11755
ERR1135339,Denmark,Europe,PRJEB11755
ERR1135340,Denmark,Europe,PRJEB11755
ERR1135341,Denmark,Europe,PRJEB11755
ERR1135342,Denmark,Europe,PRJEB11755
ERR1135343,Denmark,Europe,PRJEB11755
ERR1135344,Denmark,Europe,PRJEB11755
ERR1135345,Denmark,Europe,PRJEB11755
ERR1135346,Denmark,Europe,PRJEB11755
ERR1135347,Denmark,Europe,PRJEB11755
ERR1135348,Denmark,Europe,PRJEB11755
ERR1135349,Denmark,Europe,PRJEB11755
ERR1135350,Denmark,Europe,PRJEB11755
ERR1135351,Denmark,Europe,PRJEB11755
ERR1135352,Denmark,Europe,PRJEB11755
ERR1135353,Denmark,Europe,PRJEB11755
ERR1135354,Denmark,Europe,PRJEB11755
ERR1135355,Denmark,Europe,PRJEB11755
ERR1135356,Denmark,Europe,PRJEB11755
ERR1135357,Denmark,Europe,PRJEB11755
ERR1135358,Denmark,Europe,PRJEB11755
