user_genome	Domain	phylum	class	order	family	genus	species
AtH2023_ERR1135212_MAG01	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus amylovorus
AtH2023_ERR1135212_MAG02	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Alloprevotella	
AtH2023_ERR1135212_MAG03	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Frisingicoccus	Frisingicoccus sp016298055
AtH2023_ERR1135212_MAG04	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002251365
AtH2023_ERR1135212_MAG05	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp004555245
AtH2023_ERR1135212_MAG06	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA4372	UBA4372 sp945787625
AtH2023_ERR1135212_MAG07	Bacteria	Cyanobacteriota	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	RUG841	RUG841 sp900772035
AtH2023_ERR1135212_MAG08	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp022777585
AtH2023_ERR1135212_MAG09	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	F23-B02	F23-B02 sp945613045
AtH2023_ERR1135212_MAG10	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	Eubacterium_R sp022772725
AtH2023_ERR1135212_MAG11	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CALZFJ01	CALZFJ01 sp945645715
AtH2023_ERR1135212_MAG12	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	F082	Limimorpha	Limimorpha sp900769945
AtH2023_ERR1135212_MAG13	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA2868	UBA2868 sp004552595
AtH2023_ERR1135212_MAG14	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	CAG-115	
AtH2023_ERR1135212_MAG15	Bacteria	Spirochaetota	Spirochaetia	Treponematales	Treponemataceae	Treponema_D	Treponema_D sp016294035
AtH2023_ERR1135212_MAG16	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	
AtH2023_ERR1135212_MAG17	Bacteria	Verrucomicrobiota	Kiritimatiellia	RFP12	UBA1067	UBA1067	UBA1067 sp945483525
AtH2023_ERR1135212_MAG18	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	RF16	RF16 sp945828585
AtH2023_ERR1135212_MAG19	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	SFTJ01	SFTJ01 sp004557385
