acc,bases,bytes,cohort_sam,collection_date_sam,cohort,timepoint,sampling_time,cohort2,med_used,crate_before_start_of_the_trial_sam,cross_breed_sam,dna_plate_sam,dna_well_sam,dysentery_sam,env_biome_sam,env_feature_sam,env_material_sam,host_body_habitat_sam,host_diet_sam,host_last_meal_sam,host_life_stage_sam,host_sam,host_sex_sam,host_weight_sam,isolation_source_sam_ss_dpl262,lat_lon_sam,line_sam,nursing_dam_sam,pigpen_sam,sample_storage_temperature_sam,start_of_treatment_sam,stigdam__female_parent__sam,stigsire__male_parent__sam,tattoo_sam,primary_search
SRR11125159,1298086298,392613393,['Mothers'],['2017-01-30'],mother,1,t0,mother,mother,,not available,plate_10,E10,0,['Host- gut'],['Faecal'],['Faecal'],Intestinal Tract,['Commercial pellets'],Commercial pellets,Sow,['Porcine'],['female'],not available,['40486'],['missing'],not available,,nan,-80C,nan,not available,not available,,11098535
SRR11125160,1313062176,406965849,['Mothers'],['2017-01-30'],mother,1,t0,mother,mother,,not available,plate_10,D8,0,['Host- gut'],['Faecal'],['Faecal'],Intestinal Tract,['Commercial pellets'],Commercial pellets,Sow,['Porcine'],['female'],not available,['B11614'],['missing'],not available,,nan,-80C,nan,not available,not available,,11098534
SRR11125162,1008733152,303502033,['Mothers'],['2017-01-30'],mother,1,t0,mother,mother,,not available,plate_10,A4,0,['Host- gut'],['Faecal'],['Faecal'],Intestinal Tract,['Commercial pellets'],Commercial pellets,Sow,['Porcine'],['female'],not available,['315132'],['missing'],not available,,nan,-80C,nan,not available,not available,,11098532
SRR11125163,1482338310,462945082,['Mothers'],['2017-01-30'],mother,1,t0,mother,mother,,not available,plate_9,C8,0,['Host- gut'],['Faecal'],['Faecal'],Intestinal Tract,['Commercial pellets'],Commercial pellets,Sow,['Porcine'],['female'],not available,['40519'],['missing'],not available,,nan,-80C,nan,not available,not available,,11098531
SRR11125164,1137855668,365058590,['Mothers'],['2017-01-30'],mother,1,t0,mother,mother,,not available,plate_10,G7,0,['Host- gut'],['Faecal'],['Faecal'],Intestinal Tract,['Commercial pellets'],Commercial pellets,Sow,['Porcine'],['female'],not available,['315376'],['missing'],not available,,nan,-80C,nan,not available,not available,,11098530
SRR11125165,1277794012,384394938,['Mothers'],['2017-01-30'],mother,1,t0,mother,mother,,not available,plate_9,F10,0,['Host- gut'],['Faecal'],['Faecal'],Intestinal Tract,['Commercial pellets'],Commercial pellets,Sow,['Porcine'],['female'],not available,['210080'],['missing'],not available,,nan,-80C,nan,not available,not available,,11098529
SRR11125167,1185642638,403421138,['Mothers'],['2017-01-30'],mother,1,t0,mother,mother,,not available,plate_10,D3,0,['Host- gut'],['Faecal'],['Faecal'],Intestinal Tract,['Commercial pellets'],Commercial pellets,Sow,['Porcine'],['female'],not available,['315649'],['missing'],not available,,nan,-80C,nan,not available,not available,,11098528
SRR11125169,1555526198,483640634,['Mothers'],['2017-01-30'],mother,1,t0,mother,mother,,not available,plate_9,G7,0,['Host- gut'],['Faecal'],['Faecal'],Intestinal Tract,['Commercial pellets'],Commercial pellets,Sow,['Porcine'],['female'],not available,['212211'],['missing'],not available,,nan,-80C,nan,not available,not available,,11098526
SRR11125170,1351547244,408609302,['Mothers'],['2017-01-30'],mother,1,t0,mother,mother,,not available,plate_10,C1,0,['Host- gut'],['Faecal'],['Faecal'],Intestinal Tract,['Commercial pellets'],Commercial pellets,Sow,['Porcine'],['female'],not available,['315286'],['missing'],not available,,nan,-80C,nan,not available,not available,,11098525
SRR11125171,1011853114,302709545,['Mothers'],['2017-01-30'],mother,1,t0,mother,mother,,not available,plate_10,E4,0,['Host- gut'],['Faecal'],['Faecal'],Intestinal Tract,['Commercial pellets'],Commercial pellets,Sow,['Porcine'],['female'],not available,['21272'],['missing'],not available,,nan,-80C,nan,not available,not available,,11098524
