basename,mags_and_gtdb,gtdb,mag_only
ERR10852874,0.765185644,0.722738858,0.380050975
ERR10852876,0.752558815,0.728347863,0.274152646
ERR10852883,0.776335811,0.751092968,0.345667434
ERR10852889,0.751537014,0.729276437,0.355885143
ERR10852927,0.755884326,0.725064993,0.32936153
ERR10852928,0.788779451,0.752688265,0.39364027
ERR10852994,0.751127922,0.728467253,0.324132761
ERR10854478,0.774030936,0.750662476,0.31324336
ERR10854479,0.774795122,0.759991212,0.379839613
ERR10855709,0.756059283,0.715683227,0.377996636
ERR10856023,0.772366272,0.748209132,0.344566993
ERR10856067,0.756043713,0.733226625,0.329613276
ERR10856093,0.767031822,0.743625678,0.357882881
ERR10856880,0.748601214,0.706403657,0.320318226
ERR10856887,0.806422017,0.787363398,0.317623103
ERR10857093,0.808234688,0.781101453,0.392826147
ERR13326165,0.762210085,0.723836398,0.297242447
ERR13326173,0.799315042,0.762368069,0.374045452
ERR13326176,0.774441779,0.743000262,0.280436733
ERR13326190,0.82650412,0.790150427,0.422731125
ERR13326191,0.801865689,0.777412742,0.391247154
ERR13326192,0.726202524,0.69208524,0.296203072
ERR13326194,0.795403469,0.772163362,0.374064853
ERR13326198,0.715860397,0.685335247,0.28015064
ERR13326200,0.809295132,0.730022022,0.48848475
ERR13326202,0.764225755,0.727722746,0.313260817
ERR13326209,0.732244518,0.697800998,0.281695648
ERR13326212,0.763471624,0.736057378,0.315559567
ERR13326213,0.77394092,0.742263665,0.31361068
ERR13326214,0.733264652,0.688504179,0.297359981
ERR13326218,0.750036653,0.693749118,0.281257867
ERR13326221,0.794414206,0.718711761,0.487151611
ERR13326223,0.796167544,0.758360515,0.382224159
ERR13326227,0.768768348,0.711816032,0.385677444
ERR13326229,0.801462313,0.76186595,0.399165854
ERR13326230,0.799054684,0.764814389,0.356107842
ERR13326231,0.742496964,0.707090027,0.297930396
ERR13326234,0.76066218,0.72577265,0.321181516
ERR13326236,0.788155829,0.763161054,0.309199731
ERR13326240,0.763370632,0.735171642,0.324348095
ERR13326247,0.773374406,0.740739749,0.354164155
ERR13326254,0.738343939,0.666358798,0.39963566
ERR13326255,0.75220364,0.70955691,0.345250854
ERR13326256,0.787997495,0.763815977,0.316130502
ERR13326257,0.853675191,0.722097108,0.630292286
ERR13326264,0.810617046,0.777377386,0.364502902
ERR13326265,0.789276612,0.761513825,0.364688178
ERR13326268,0.757543881,0.727611806,0.29991284
ERR13326271,0.769334933,0.738073442,0.334090696
ERR13326274,0.806208635,0.77540143,0.374282258
ERR13326285,0.757023687,0.745358807,0.220359397
ERR13326293,0.762042023,0.717020601,0.338609985
ERR14000440,0.770811922,0.740586751,0.385219097
ERR14000443,0.729069647,0.710855842,0.301045224
ERR14000444,0.753763199,0.732419681,0.310492024
ERR14000447,0.711470933,0.683866563,0.281554819
ERR14000448,0.716103329,0.672664182,0.332990618
ERR14000450,0.729501122,0.67503884,0.34930088
ERR14000454,0.782547771,0.759490446,0.354394904
ERR14000467,0.759872883,0.708095958,0.42138511
ERR14000471,0.737402016,0.710526316,0.301791713
ERR14000478,0.775932809,0.746440122,0.365496935
