rank,name,diff,sourmash,singleM
species,s__Lactobacillus johnsonii_A,-1.655339894,1.655339894,0
species,s__Lactobacillus johnsonii_A,-1.764003344,1.764003344,0
species,s__Caccovivens sp963602685,-1.764503367,1.764816183,0.000312817
species,s__Lactobacillus kitasatonis,-1.109005096,1.109518691,0.000513595
species,s__Lactobacillus kitasatonis,-1.127090078,1.127859362,0.000769284
species,s__Clostridium lentum,-1.301507504,1.307267055,0.00575955
species,s__Limosilactobacillus rodentium,-1.494120835,1.503470523,0.009349688
species,s__Clostridium lentum,-1.022239375,1.034151597,0.011912222
species,s__Clostridium lentum,-1.191749941,1.204506144,0.012756203
species,s__Clostridium lentum,-1.080639129,1.093992595,0.013353466
species,s__Lactobacillus kitasatonis,-3.214882548,3.228444788,0.01356224
species,s__Clostridium lentum,-1.263514372,1.279120166,0.015605794
genus,g__CAG-1193,-1.752740927,1.775606034,0.022865107
genus,g__DUUI01,-1.640222314,1.668216213,0.027993899
species,s__Limosilactobacillus reuteri_I,-2.175994876,2.213885717,0.037890842
species,s__Limivicinus sp022787565,-1.023821679,1.064172964,0.040351286
species,s__Clostridium sp015555905,-1.05768937,1.134601769,0.076912399
order,o__TANB77,-1.153723128,1.236624346,0.082901218
order,o__Saccharimonadales,-1.560706175,1.660937205,0.10023103
class,c__Saccharimonadia,-1.560706175,1.660937205,0.10023103
order,o__TANB77,-1.097866152,1.204558231,0.106692079
phylum,p__Patescibacteriota,-1.930347738,2.038783876,0.108436139
species,s__Clostridium sp015555905,-1.762884038,1.879157688,0.11627365
family,f__UBA660,-1.216334282,1.336072861,0.119738579
order,o__RF39,-1.216334282,1.336072861,0.119738579
family,f__UBA1242,-1.242327895,1.370299434,0.127971539
order,o__TANB77,-1.113189931,1.251326742,0.138136811
family,f__CAG-508,-1.24852598,1.388669324,0.140143343
order,o__TANB77,-1.477989041,1.627879887,0.149890846
species,s__F23-B02 sp900760205,-1.637864197,1.79433141,0.156467213
family,f__CAG-272,-1.138933616,1.320211145,0.18127753
family,f__UBA1242,-2.7989905,2.983213542,0.184223042
family,f__UBA1242,-1.02591912,1.2139295,0.18801038
superkingdom,d__Archaea,-1.002008254,1.194851026,0.192842772
family,f__UBA1242,-1.029807696,1.229105211,0.199297515
family,f__UBA1242,-1.072910686,1.280755358,0.207844673
family,f__Peptoniphilaceae,-1.236859392,1.444883023,0.208023631
family,f__UBA1242,-1.296925182,1.506675285,0.209750102
family,f__UBA1242,-1.184360447,1.395486234,0.211125788
family,f__UBA1242,-1.19021797,1.402777778,0.212559808
family,f__UBA1242,-1.160889778,1.373810955,0.212921177
order,o__Tissierellales,-1.314114411,1.527929883,0.213815472
family,f__UBA1242,-1.187581193,1.402545696,0.214964503
genus,g__CAG-1782,-1.045446244,1.271934538,0.226488294
family,f__DTU072,-1.055154293,1.281913505,0.226759213
family,f__UBA1242,-1.00911228,1.23794275,0.22883047
genus,g__Enterousia,-1.583122963,1.814672136,0.231549172
family,f__Rs-D84,-1.582939048,1.814672136,0.231733088
family,f__UBA1242,-1.109042036,1.341205102,0.232163065
family,f__UBA1242,-1.296853562,1.533384168,0.236530607
order,o__Rs-D84,-1.603648426,1.84420944,0.240561015
family,f__CAG-508,-2.318336951,2.564381377,0.246044426
order,o__TANB77,-2.34880719,2.600264593,0.251457403
class,c__Alphaproteobacteria,-1.225744348,1.47978544,0.254041092
family,f__UBA1242,-1.208908622,1.471239265,0.262330642
family,f__UBA1242,-1.2923766,1.555726736,0.263350136
species,s__CAG-1000 sp022774645,-1.112146059,1.377777778,0.265631719
family,f__UBA1242,-1.162586809,1.430707929,0.26812112
genus,g__CAG-269,-1.013678628,1.288638187,0.274959559
species,s__CAG-1000 sp022774645,-1.140475283,1.427389814,0.286914532
species,s__CAG-1000 sp022774645,-1.120351249,1.407904818,0.287553568
family,f__CAG-508,-2.557409747,2.849698267,0.29228852
family,f__UBA1242,-1.828008983,2.12186634,0.293857358
species,s__CAG-1000 sp022774645,-1.022797155,1.319300712,0.296503557
species,s__CAG-1000 sp022774645,-1.204503507,1.501103261,0.296599754
species,s__CAG-302 sp945919295,-1.017964894,1.316002748,0.298037854
species,s__CAG-1000 sp022774645,-1.064896944,1.36646696,0.301570016
species,s__CAG-1000 sp022774645,-1.156017654,1.457899746,0.301882092
species,s__CAG-1000 sp000436975,-1.067718803,1.376619024,0.30890022
family,f__Gastranaerophilaceae,-1.711939419,2.02808956,0.316150141
