basename,mags_and_gtdb,gtdb,mags_and_gtdbreps,gtdb_reps,mag_only
ERR1135178,0.776361833,0.744442494,0.713527646,0.591457765,0.410509886
ERR1135179,0.700265501,0.673775077,0.659402923,0.554510129,0.365497445
ERR1135180,0.660430207,0.62584017,0.645118442,0.534587345,0.360695325
ERR1135181,0.707528353,0.672563955,0.678215969,0.557689637,0.389273634
ERR1135182,0.689883668,0.654850906,0.667836944,0.559868774,0.362759171
ERR1135183,0.694171276,0.659367957,0.663812579,0.550454283,0.35417502
ERR1135184,0.714194105,0.682742792,0.667134542,0.555180391,0.399714404
ERR1135185,0.75103006,0.729037822,0.697880896,0.579382639,0.416398991
ERR1135186,0.877321572,0.866627451,0.79555276,0.692558981,0.458325889
ERR1135187,0.67739516,0.638166354,0.665569265,0.537796963,0.349281404
ERR1135188,0.656958127,0.617527851,0.650807998,0.538737288,0.310274506
ERR1135189,0.664179234,0.620226877,0.626829472,0.498907618,0.39969558
ERR1135190,0.719257522,0.684126638,0.677262213,0.55909409,0.433044882
ERR1135191,0.708701385,0.673177828,0.665650043,0.535542985,0.432183992
ERR1135192,0.703142777,0.66388922,0.672960725,0.549070558,0.408939718
ERR1135193,0.720898193,0.682703697,0.685702224,0.562822855,0.391066522
ERR1135194,0.741040332,0.703208529,0.697900616,0.566317061,0.423930244
ERR1135195,0.672097159,0.63478442,0.642589364,0.53013582,0.386433157
ERR1135196,0.835802534,0.811891629,0.776332515,0.648859824,0.484800384
ERR1135197,0.808987786,0.762108662,0.756667728,0.620306377,0.465424443
ERR1135198,0.739710297,0.707741088,0.689408181,0.565573984,0.455917356
ERR1135199,0.743365201,0.701044029,0.692188355,0.550635164,0.446282485
ERR1135200,0.728470278,0.691658059,0.686486532,0.56396508,0.408693618
ERR1135201,0.691427229,0.657058707,0.662290894,0.54805566,0.341787625
ERR1135202,0.641987109,0.597878595,0.609066489,0.497910408,0.36590776
ERR1135203,0.661342862,0.62175398,0.636791782,0.516082659,0.322889169
ERR1135204,0.673207071,0.632641488,0.631120198,0.512040755,0.361890924
ERR1135205,0.829090583,0.773218478,0.771481198,0.620637047,0.500973054
ERR1135206,0.75246008,0.714056275,0.713861254,0.589062145,0.438451613
ERR1135207,0.658791254,0.610129863,0.627702455,0.497777598,0.297385875
ERR1135208,0.686117203,0.636702512,0.648043955,0.524982558,0.326762058
ERR1135209,0.669445031,0.61821227,0.654993568,0.527067819,0.349140476
ERR1135210,0.660769592,0.62188772,0.625912142,0.510064978,0.306097979
ERR1135211,0.68463012,0.637144297,0.664461525,0.540697674,0.377682659
ERR1135212,0.618640274,0.561477037,0.617177813,0.498791599,0.303886763
ERR1135213,0.687160933,0.648798189,0.667733398,0.554220603,0.343266148
ERR1135214,0.81123785,0.791281503,0.751177517,0.634373717,0.463757372
ERR1135215,0.835568946,0.818898516,0.781613788,0.677659678,0.434486212
