acc,assay_type,organism
ERR11504361,WGS,human gut metagenome
ERR6170257,WGS,human gut metagenome
SRR13304098,WGS,soil metagenome
ERR11456590,WGS,human gut metagenome
ERR11478504,WGS,human gut metagenome
ERR11457240,WGS,human gut metagenome
ERR3574661,WGS,sediment metagenome
SRR4425700,OTHER,feces metagenome
SRR10692439,OTHER,human gut metagenome
SRR27108371,WGS,pig gut metagenome
SRR5580333,WGS,human gut metagenome
SRR13385196,WGS,human gut metagenome
SRR28555635,WGS,gut metagenome
SRR13452517,WGS,feces metagenome
ERR11565111,WGS,human gut metagenome
SRR14369279,WGS,pig gut metagenome
SRR14874737,WGS,human gut metagenome
ERR11473707,WGS,human gut metagenome
ERR11473015,WGS,human gut metagenome
SRR20632228,WGS,pig gut metagenome
SRR8898463,WGS,human gut metagenome
SRR13712850,WGS,human gut metagenome
SRR12179833,WGS,gut metagenome
ERR3607269,WGS,gut metagenome
ERR11569540,WGS,human gut metagenome
SRR7193015,WGS,pig metagenome
SRR11125014,WGS,pig gut metagenome
ERR11474249,WGS,human gut metagenome
ERR5729249,OTHER,metagenome
SRR30645947,Targeted-Capture,human skin metagenome
SRR9866670,WGS,Lawsonia intracellularis
SRR15732368,WGS,pig gut metagenome
SRR5371433,WGS,bovine gut metagenome
ERR1135202,WGS,pig gut metagenome
SRR11184047,WGS,pig gut metagenome
SRR8960240,WGS,pig gut metagenome
SRR14369192,WGS,pig gut metagenome
ERR11029166,WGS,human gut metagenome
ERR11457996,WGS,human gut metagenome
ERR11457942,WGS,human gut metagenome
ERR11457712,WGS,human gut metagenome
SRR19497814,WGS,pig gut metagenome
SRR13712852,WGS,human gut metagenome
SRR10499505,WGS,human gut metagenome
SRR5666653,WGS,pig metagenome
SRR11482394,WGS,dust metagenome
SRR10203110,WGS,feces metagenome
ERR4682334,WGS,wastewater metagenome
ERR11564750,WGS,human gut metagenome
ERR11504107,WGS,human gut metagenome
ERR11564794,WGS,human gut metagenome
ERR11564782,WGS,human gut metagenome
ERR11566337,WGS,human gut metagenome
ERR11564311,WGS,human gut metagenome
SRR11125809,WGS,pig gut metagenome
ERR11473646,WGS,human gut metagenome
ERR11474031,WGS,human gut metagenome
SRR18652136,WGA,metagenome
ERR2597464,WGS,gut metagenome
ERR1726016,WGS,wastewater metagenome
SRR26820287,WGS,pig gut metagenome
SRR18573360,WGS,gut metagenome
SRR11835921,WGS,metagenome
SRR16894741,WGS,feces metagenome
SRR5866264,WGS,human gut metagenome
ERR4283320,WGS,Homo sapiens
ERR11504284,WGS,human gut metagenome
SRR11126112,WGS,pig gut metagenome
SRR11124909,WGS,pig gut metagenome
ERR11477486,WGS,human gut metagenome
SRR27538922,WGS,human gut metagenome
SRR21977532,WGA,pig gut metagenome
SRR16681829,WGS,human gut metagenome
SRR18491244,WGS,gut metagenome
SRR5056829,WGS,human gut metagenome
ERR636389,WGS,human gut metagenome
ERR11029093,WGS,human gut metagenome
ERR11029079,WGS,human gut metagenome
SRR15520790,WGS,metagenome
SRR27430046,OTHER,human gut metagenome
ERR3003402,WGS,human gut metagenome
SRR25477885,WGS,metagenome
SRR25571378,WGS,human gut metagenome
SRR7658659,WGS,gut metagenome
SRR7989859,WGS,feces metagenome
ERR10628383,WGS,human gut metagenome
ERR12341943,WGS,metagenome
ERR4335288,WGS,gut metagenome
ERR11565419,WGS,human gut metagenome
ERR688586,WGS,human gut metagenome
SRR8960788,WGS,pig gut metagenome
SRR8960689,WGS,pig gut metagenome
SRR11125926,WGS,pig gut metagenome
SRR11183557,WGS,pig gut metagenome
ERR6750193,WGS,metagenome
ERR3844216,WGS,gut metagenome
SRR20707899,WGS,Equus asinus
ERR5947607,WGS,human gut metagenome
SRR18491252,WGS,gut metagenome
SRR17241591,WGS,pig gut metagenome
SRR24599911,WGS,human gut metagenome
SRR13712901,WGS,human gut metagenome
ERR4341703,WGS,gut metagenome
ERR6212208,WGS,metagenome
ERR11566401,WGS,human gut metagenome
ERR1600664,WGS,metagenome
ERR5883786,WGS,human gut metagenome
SRR14812364,WGS,manure metagenome
ERR5729240,OTHER,metagenome
ERR4158219,OTHER,human gut metagenome
SRR14570983,WGS,feces metagenome
ERR10688939,WGS,feces metagenome
SRR16329151,WGS,feces metagenome
SRR25936262,WGS,pig gut metagenome
ERR6395283,WGS,Homo sapiens
ERR11569037,WGS,human gut metagenome
ERR11564639,WGS,human gut metagenome
ERR1135285,WGS,pig gut metagenome
SRR11125973,WGS,pig gut metagenome
SRR11125463,WGS,pig gut metagenome
ERR11473848,WGS,human gut metagenome
ERR11457793,WGS,human gut metagenome
ERR11080654,OTHER,Homo sapiens
ERR4097273,WGS,human gut metagenome
SRR7989944,WGS,feces metagenome
ERR4330107,WGS,gut metagenome
ERR8263865,WGS,human gut metagenome
ERR11569369,WGS,human gut metagenome
SRR8960382,WGS,pig gut metagenome
ERR10370063,WGS,human gut metagenome
SRR5008265,WGS,pig metagenome
ERR11472966,WGS,human gut metagenome
ERR7745414,WGS,human gut metagenome
ERR5198868,OTHER,metagenome
SRR17001017,WGS,feces metagenome
ERR4678594,WGS,wastewater metagenome
SRR17549185,WGS,wastewater metagenome
ERR11570101,WGS,human gut metagenome
ERR6170269,WGS,human gut metagenome
SRR11126435,WGS,pig gut metagenome
SRR8960760,WGS,pig gut metagenome
SRR21938328,OTHER,metagenome
ERR5862868,OTHER,metagenome
ERR3481969,OTHER,human gut metagenome
ERR3211927,WGS,pig gut metagenome
SRR30884460,WGS,feces metagenome
SRR13378599,WGS,human gut metagenome
SRR12795792,WGS,pig gut metagenome
SRR5866317,WGS,human gut metagenome
ERR6910951,WGS,Homo sapiens
SRR23223856,WGS,pig gut metagenome
ERR11504692,WGS,human gut metagenome
ERR11570486,WGS,human gut metagenome
ERR6170143,WGS,human gut metagenome
ERR11564467,WGS,human gut metagenome
SRR11125542,WGS,pig gut metagenome
SRR11183306,WGS,pig gut metagenome
ERR9882542,OTHER,human gut metagenome
ERR7625342,WGS,human gut metagenome
SRR16327194,OTHER,gut metagenome
ERR2641325,WGS,human metagenome
ERR3261737,WGS,Homo sapiens
ERR11570619,WGS,human gut metagenome
SRR10692049,OTHER,human gut metagenome
SRR21969487,OTHER,metagenome
SRR11183742,WGS,pig gut metagenome
SRR8960233,WGS,pig gut metagenome
SRR11126344,WGS,pig gut metagenome
ERR3003438,WGS,human gut metagenome
SRR11723725,WGS,pig gut metagenome
SRR27108374,WGS,pig gut metagenome
SRR28060982,WGS,wastewater metagenome
SRR13618038,WGS,air metagenome
SRR22588127,WGS,human metagenome
ERR12349973,WGS,metagenome
ERR3764869,WGS,human gut metagenome
ERR11564893,WGS,human gut metagenome
ERR11504201,WGS,human gut metagenome
ERR11504049,WGS,human gut metagenome
ERR11568999,WGS,human gut metagenome
ERR11569181,WGS,human gut metagenome
SRR24884190,WGS,human gut metagenome
SRR11183931,WGS,pig gut metagenome
SRR11184017,WGS,pig gut metagenome
ERR1136764,WGS,human gut metagenome
ERR10101856,WGS,human gut metagenome
ERR11029199,WGS,human gut metagenome
ERR11029044,WGS,human gut metagenome
SRR10238604,Hi-C,human gut metagenome
ERR5729222,OTHER,metagenome
SRR31120247,WGS,gut metagenome
SRR3053138,WGS,bovine metagenome
SRR13077666,WGS,human gut metagenome
SRR21938087,OTHER,metagenome
ERR4678579,WGS,wastewater metagenome
ERR8977422,WGS,wastewater metagenome
SRR26444596,WGS,pig gut metagenome
SRR18686846,WGS,human gut metagenome
ERR6395366,WGS,Homo sapiens
ERR2759399,WGS,metagenome
ERR4335207,WGS,gut metagenome
ERR11569808,WGS,human gut metagenome
ERR11474261,WGS,human gut metagenome
SRR31313995,OTHER,Eubacteriales bacterium
SRR10692469,OTHER,human gut metagenome
SRR21938096,OTHER,metagenome
ERR6910947,WGS,Homo sapiens
ERR4283429,WGS,Homo sapiens
ERR4283477,WGS,Homo sapiens
SRR13844392,WGS,human gut metagenome
SRR18242808,WGS,human gut metagenome
ERR11564636,WGS,human gut metagenome
SRR11183337,WGS,pig gut metagenome
SRR8960511,WGS,pig gut metagenome
SRR11183974,WGS,pig gut metagenome
SRR8242827,WGS,fermentation metagenome
SRR3724036,WGS,human gut metagenome
ERR2855780,WGS,human gut metagenome
ERR589527,WGS,human gut metagenome
SRR18498137,WGS,human gut metagenome
ERR11564433,WGS,human gut metagenome
SRR11184019,WGS,pig gut metagenome
SRR11184100,WGS,pig gut metagenome
ERR11477680,WGS,human gut metagenome
ERR11473683,WGS,human gut metagenome
ERR10115199,WGS,human gut metagenome
SRR13503358,WGS,sludge metagenome
SRR12203218,WGS,pig gut metagenome
SRR11413593,OTHER,pig gut metagenome
SRR12459304,WGA,human gut metagenome
ERR1136777,WGS,human gut metagenome
ERR2241644,WGS,metagenome
DRR221393,WGS,human gut metagenome
ERR3574652,WGS,sediment metagenome
SRR11941498,WGS,human gut metagenome
ERR4398814,WGS,feces metagenome
SRR31097937,WGS,gut metagenome
SRR22541648,WGS,human gut metagenome
ERR4335245,WGS,gut metagenome
ERR11564985,WGS,human gut metagenome
ERR11566209,WGS,human gut metagenome
SRR11183978,WGS,pig gut metagenome
SRR11124758,WGS,pig gut metagenome
SRR11184055,WGS,pig gut metagenome
ERR11080599,OTHER,Homo sapiens
ERR11477556,WGS,human gut metagenome
ERR7738152,WGS,human gut metagenome
ERR2641633,WGS,human metagenome
SRR11723729,WGS,pig gut metagenome
SRR29078356,WGS,metagenome
ERR1600631,WGS,metagenome
SRR13077840,WGS,human gut metagenome
ERR11793664,WGS,metagenome
SRR11126104,WGS,pig gut metagenome
SRR14160106,WGS,human gut metagenome
ERR11457626,WGS,human gut metagenome
ERR11474021,WGS,human gut metagenome
ERR2641584,WGS,human metagenome
SRR25667263,WGS,pig metagenome
SRR24987901,WGS,human gut metagenome
SRR6122179,WGS,gut metagenome
SRR24315726,WGS,human gut metagenome
ERR12337549,WGS,metagenome
ERR11569348,WGS,human gut metagenome
SRR15292440,WGS,metagenome
SRR11126275,WGS,pig gut metagenome
SRR8960462,WGS,pig gut metagenome
ERR11473372,WGS,human gut metagenome
ERR11473690,WGS,human gut metagenome
SRR13348783,WGS,metagenome
ERR2241678,WGS,metagenome
SRR16329136,WGS,feces metagenome
SRR28555601,WGS,gut metagenome
DRR221423,WGS,human gut metagenome
ERR4334222,WGS,gut metagenome
ERR1600611,WGS,metagenome
ERR1135257,WGS,pig gut metagenome
SRR10680817,WGS,human gut metagenome
SRR8960484,WGS,pig gut metagenome
SRR11183927,WGS,pig gut metagenome
