acc,Bariatricus_sp004560705.branchw,JAFBIX01_sp021531895.branchw,Limosilactobacillus_reuteri.branchw,Lactobacillus_amylovorus.branchw,Sodaliphilus_sp004557565.branchw,UBA2868_sp004552595.branchw,Mogibacterium_A_kristiansenii.branchw,Prevotella_sp002251295.branchw,Cryptobacteroides_sp900546925.branchw,Holdemanella_porci.branchw,Prevotella_pectinovora.branchw,Prevotella_sp000434975.branchw,Fimisoma_sp002320005.branchw,Collinsella_sp002391315.branchw
ERR11504361,1,0,0,0,0,0,1,0,0,0,1,0,0,1
ERR6170257,1,0,0,0,0,0,0,0,0,1,0,0,0,1
SRR13304098,1,1,1,1,1,1,1,1,1,1,0,0,1,1
ERR11456590,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ERR11478504,1,0,0,0,0,0,1,0,0,1,0,0,0,1
ERR11457240,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ERR3574661,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR4425700,1,1,0,1,1,1,1,1,1,1,1,1,1,1
SRR10692439,1,0,0,0,0,0,0,0,0,1,1,0,0,1
SRR27108371,1,1,1,1,1,0,1,1,0,1,1,1,1,1
SRR5580333,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR13385196,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR28555635,1,0,0,0,0,0,0,0,0,1,0,0,0,1
SRR13452517,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ERR11565111,1,0,0,0,0,0,0,0,0,1,0,1,0,0
SRR14369279,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRR14874737,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11473707,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ERR11473015,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR20632228,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRR8898463,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR13712850,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR12179833,1,0,0,0,0,0,0,0,0,1,0,0,0,1
