metag_count,acc,organism
14,ERR2586123,air metagenome
14,ERR2586124,air metagenome
12,SRR8745594,air metagenome
14,SRR16526563,bioreactor metagenome
13,SRR8925713,bioreactor - pig manure
13,SRR8925721,bioreactor - pig manure
13,SRR8925722,bioreactor - pig manure
13,SRR8925725,bioreactor - pig manure
14,SRR8925744,bioreactor - pig manure
14,SRR8925745,bioreactor - pig manure
14,SRR8925749,bioreactor - pig manure
14,SRR8925750,bioreactor - pig manure
14,SRR8925761,bioreactor - pig manure
14,SRR8925784,bioreactor - pig manure
14,SRR8925785,bioreactor - pig manure
13,SRR8925786,bioreactor - pig manure
14,SRR8925787,bioreactor - pig manure
14,SRR8925789,bioreactor - pig manure
14,SRR8925791,bioreactor - pig manure
14,SRR8925792,bioreactor - pig manure
14,SRR8925793,bioreactor - pig manure
14,SRR8925794,bioreactor - pig manure
14,SRR8925795,bioreactor - pig manure
14,SRR8925796,bioreactor - pig manure
13,SRR8925808,bioreactor - pig manure
14,SRR8925809,bioreactor - pig manure
14,SRR8925810,bioreactor - pig manure
14,SRR8925811,bioreactor - pig manure
12,SRR8925812,bioreactor - pig manure
14,SRR8925813,bioreactor - pig manure
14,SRR8925815,bioreactor - pig manure
14,SRR8925816,bioreactor - pig manure
14,SRR8925818,bioreactor - pig manure
12,SRR8925820,bioreactor - pig manure
13,SRR8925823,bioreactor - pig manure
13,SRR8925824,bioreactor - pig manure
14,SRR8925825,bioreactor - pig manure
12,ERR4398742,bovine gut metagenome
13,ERR4398744,bovine gut metagenome
13,ERR4398745,bovine gut metagenome
14,ERR4398747,bovine gut metagenome
14,ERR4398748,bovine gut metagenome
14,ERR4398749,bovine gut metagenome
13,ERR4398750,bovine gut metagenome
14,ERR4398751,bovine gut metagenome
14,ERR4398752,bovine gut metagenome
14,ERR4398753,bovine gut metagenome
14,ERR4398754,bovine gut metagenome
14,ERR4398755,bovine gut metagenome
14,ERR4398756,bovine gut metagenome
13,ERR4398758,bovine gut metagenome
14,ERR4398759,bovine gut metagenome
14,ERR4398760,bovine gut metagenome
14,ERR4398762,bovine gut metagenome
14,ERR4398763,bovine gut metagenome
14,ERR4398765,bovine gut metagenome
13,ERR4398766,bovine gut metagenome
13,ERR4398767,bovine gut metagenome
13,ERR4398768,bovine gut metagenome
14,ERR4398769,bovine gut metagenome
13,ERR4398770,bovine gut metagenome
13,ERR4398771,bovine gut metagenome
13,ERR4398772,bovine gut metagenome
14,ERR4398773,bovine gut metagenome
13,ERR4398774,bovine gut metagenome
14,ERR4398775,bovine gut metagenome
13,ERR4398776,bovine gut metagenome
13,ERR4398778,bovine gut metagenome
13,ERR4398779,bovine gut metagenome
12,ERR4398781,bovine gut metagenome
13,ERR4398787,bovine gut metagenome
12,ERR4398788,bovine gut metagenome
12,ERR4398789,bovine gut metagenome
12,ERR4398790,bovine gut metagenome
12,ERR4398791,bovine gut metagenome
14,ERR4398792,bovine gut metagenome
13,ERR4398793,bovine gut metagenome
12,ERR4398794,bovine gut metagenome
13,ERR4398795,bovine gut metagenome
12,ERR4398796,bovine gut metagenome
12,ERR4398798,bovine gut metagenome
13,ERR4398799,bovine gut metagenome
12,ERR4398800,bovine gut metagenome
13,ERR4398801,bovine gut metagenome
12,ERR4398802,bovine gut metagenome
12,ERR4398803,bovine gut metagenome
13,ERR4398804,bovine gut metagenome
12,ERR4398805,bovine gut metagenome
12,ERR4398806,bovine gut metagenome
12,ERR4398807,bovine gut metagenome
12,ERR4398808,bovine gut metagenome
13,ERR4398809,bovine gut metagenome
14,ERR4398810,bovine gut metagenome
13,ERR4398811,bovine gut metagenome
13,ERR4398812,bovine gut metagenome
12,ERR4398813,bovine gut metagenome
12,ERR4398814,bovine gut metagenome
14,ERR4398815,bovine gut metagenome
12,SRR5371371,bovine gut metagenome
12,SRR5371385,bovine gut metagenome
12,SRR5371387,bovine gut metagenome
12,SRR5371395,bovine gut metagenome
12,SRR5371405,bovine gut metagenome
12,SRR5371411,bovine gut metagenome
12,SRR5371419,bovine gut metagenome
12,SRR5371429,bovine gut metagenome
12,SRR5371431,bovine gut metagenome
12,SRR5371435,bovine gut metagenome
