domain,n_unique_weighted_found,total_weighted_hashes,ident
Eukaryota,2828,1095902,SRR16235702
d__Archaea,11,1095902,SRR16235702
d__Bacteria,461818,1095902,SRR16235702
plasmids,450339,1095902,SRR16235702
vOTUs,92212,1095902,SRR16235702
Eukaryota,36,150919,SRR11125386
d__Archaea,302,150919,SRR11125386
d__Bacteria,82091,150919,SRR11125386
plasmids,18442,150919,SRR11125386
vOTUs,26839,150919,SRR11125386
Eukaryota,54,96193,SRR11183692
d__Archaea,13864,96193,SRR11183692
d__Bacteria,38133,96193,SRR11183692
plasmids,5227,96193,SRR11183692
vOTUs,14350,96193,SRR11183692
Eukaryota,2683,327995,ERR3211890
d__Archaea,280,327995,ERR3211890
d__Bacteria,159633,327995,ERR3211890
plasmids,20762,327995,ERR3211890
vOTUs,56507,327995,ERR3211890
Eukaryota,18677,486467,SRR14369246
d__Archaea,2921,486467,SRR14369246
d__Bacteria,267201,486467,SRR14369246
plasmids,40062,486467,SRR14369246
vOTUs,74736,486467,SRR14369246
Eukaryota,7768,690491,SRR5976182
d__Archaea,2643,690491,SRR5976182
d__Bacteria,380043,690491,SRR5976182
plasmids,47293,690491,SRR5976182
vOTUs,103529,690491,SRR5976182
Eukaryota,229,373034,ERR1135459
d__Archaea,810,373034,ERR1135459
d__Bacteria,176704,373034,ERR1135459
plasmids,18786,373034,ERR1135459
vOTUs,53401,373034,ERR1135459
Eukaryota,106,376005,SRR8960591
d__Archaea,690,376005,SRR8960591
d__Bacteria,198593,376005,SRR8960591
plasmids,44066,376005,SRR8960591
vOTUs,64830,376005,SRR8960591
Eukaryota,944,404363,ERR1135178
d__Archaea,838,404363,ERR1135178
d__Bacteria,218693,404363,ERR1135178
plasmids,36063,404363,ERR1135178
vOTUs,69839,404363,ERR1135178
Eukaryota,25,103249,SRR11183691
d__Archaea,539,103249,SRR11183691
d__Bacteria,52629,103249,SRR11183691
plasmids,6483,103249,SRR11183691
vOTUs,13894,103249,SRR11183691
Eukaryota,50,100364,SRR11124921
d__Archaea,2356,100364,SRR11124921
d__Bacteria,51004,100364,SRR11124921
plasmids,9830,100364,SRR11124921
vOTUs,22712,100364,SRR11124921
Eukaryota,57,145117,SRR11184094
d__Archaea,399,145117,SRR11184094
d__Bacteria,78598,145117,SRR11184094
plasmids,12123,145117,SRR11184094
vOTUs,28150,145117,SRR11184094
Eukaryota,75554,735303,SRR14369156
d__Archaea,4003,735303,SRR14369156
d__Bacteria,332866,735303,SRR14369156
plasmids,37748,735303,SRR14369156
vOTUs,140580,735303,SRR14369156
Eukaryota,22,92821,SRR11125535
d__Archaea,2602,92821,SRR11125535
d__Bacteria,43311,92821,SRR11125535
plasmids,14670,92821,SRR11125535
vOTUs,15809,92821,SRR11125535
Eukaryota,339,401878,ERR1135432
d__Archaea,1398,401878,ERR1135432
d__Bacteria,196745,401878,ERR1135432
plasmids,17650,401878,ERR1135432
vOTUs,58005,401878,ERR1135432
Eukaryota,277,290186,ERR1135447
d__Archaea,1414,290186,ERR1135447
d__Bacteria,130604,290186,ERR1135447
plasmids,12993,290186,ERR1135447
vOTUs,37174,290186,ERR1135447
Eukaryota,50,144194,SRR11125310
d__Archaea,5,144194,SRR11125310
d__Bacteria,72706,144194,SRR11125310
plasmids,43773,144194,SRR11125310
vOTUs,12150,144194,SRR11125310
Eukaryota,9565,1844351,SRR17241657
d__Archaea,10778,1844351,SRR17241657
d__Bacteria,1011361,1844351,SRR17241657
plasmids,153942,1844351,SRR17241657
vOTUs,224691,1844351,SRR17241657
Eukaryota,182,92270,SRR11183588
d__Archaea,941,92270,SRR11183588
d__Bacteria,56365,92270,SRR11183588
plasmids,16085,92270,SRR11183588
vOTUs,8013,92270,SRR11183588
Eukaryota,71,142160,SRR11183590
d__Archaea,2005,142160,SRR11183590
d__Bacteria,79822,142160,SRR11183590
plasmids,10287,142160,SRR11183590
vOTUs,17776,142160,SRR11183590
Eukaryota,449,370481,ERR1135262
d__Archaea,706,370481,ERR1135262
d__Bacteria,155554,370481,ERR1135262
plasmids,20114,370481,ERR1135262
vOTUs,40679,370481,ERR1135262
Eukaryota,96,352428,SRR8960345
d__Archaea,114,352428,SRR8960345
d__Bacteria,188854,352428,SRR8960345
plasmids,38332,352428,SRR8960345
vOTUs,67615,352428,SRR8960345
Eukaryota,30,126423,SRR11124704
d__Archaea,1017,126423,SRR11124704
d__Bacteria,68728,126423,SRR11124704
plasmids,14436,126423,SRR11124704
vOTUs,22494,126423,SRR11124704
Eukaryota,33,124114,SRR11125005
d__Archaea,769,124114,SRR11125005
d__Bacteria,70691,124114,SRR11125005
plasmids,9873,124114,SRR11125005
vOTUs,17830,124114,SRR11125005
Eukaryota,25,82508,SRR11126500
d__Archaea,1,82508,SRR11126500
d__Bacteria,47895,82508,SRR11126500
plasmids,17779,82508,SRR11126500
vOTUs,6710,82508,SRR11126500
Eukaryota,2021,87526,SRR11122997
d__Archaea,175,87526,SRR11122997
d__Bacteria,45323,87526,SRR11122997
plasmids,12911,87526,SRR11122997
vOTUs,6709,87526,SRR11122997
