ident,m10,m2,m5
ERR1135178,22698,49203,32259
ERR1135181,8647,45144,18307
ERR1135188,25794,82737,43964
ERR1135225,14745,39049,22604
ERR1135230,16852,56701,28204
ERR1135235,22887,64594,36174
ERR1135250,19201,63785,29964
ERR1135262,20806,87386,39893
ERR1135274,16135,35855,23249
ERR1135282,13951,71194,30742
ERR1135303,4815,46825,14047
ERR1135323,5971,39752,13569
ERR1135347,33969,77276,43312
ERR1135385,16039,97984,36585
ERR1135414,6864,45129,15700
ERR1135415,19938,71982,33522
ERR1135423,5905,47240,14830
ERR1135432,8566,52325,17373
ERR1135440,2735,23003,6737
ERR1135441,4176,28932,9095
ERR1135442,4013,27291,8536
ERR1135447,6313,44771,14050
ERR1135448,6612,52455,17775
ERR1135459,9567,56116,20110
ERR1135468,18355,63901,31590
ERR3211765,986,23535,3773
ERR3211770,577,17660,2569
ERR3211792,2380,31853,8074
ERR3211796,2153,30378,6662
ERR3211811,5781,48010,14855
ERR3211816,2056,32693,7602
ERR3211819,2649,39167,8895
ERR3211840,1274,25330,4666
ERR3211875,2003,26275,6349
ERR3211890,1104,20305,3893
ERR3211891,1015,17304,3246
ERR3211905,4054,45066,12345
ERR3211907,2123,28781,6598
ERR3211918,2199,30187,7251
ERR3211937,1261,20420,3738
ERR3211945,1329,19794,3777
ERR3211969,881,23227,3954
ERR3211970,1657,29634,5850
ERR3211977,838,23392,3837
ERR3212049,659,17140,2059
ERR8314730,5462,82522,21527
ERR8314749,11997,105271,31257
ERR8314752,9199,98677,27806
ERR8314772,18105,107901,40483
SRR10209679,16594,50210,25334
SRR10209680,15792,61573,28689
SRR10209682,14902,40588,22269
SRR11122997,692,4799,1476
SRR11124663,805,6730,1635
SRR11124680,387,4572,1225
SRR11124704,613,9757,2265
SRR11124840,498,6040,1106
SRR11124883,654,4899,1692
SRR11124889,255,5820,996
SRR11124907,4234,12955,5856
SRR11124921,895,7144,2312
SRR11124997,10212,26064,14841
SRR11124998,267,8510,1461
SRR11125005,572,12067,2404
SRR11125057,743,5772,1173
SRR11125097,2241,8540,3448
SRR11125139,5786,18324,8406
SRR11125162,439,6650,1158
SRR11125164,246,5624,598
SRR11125263,1074,6392,2004
SRR11125290,679,6852,1825
SRR11125310,1056,6531,2082
SRR11125321,453,12714,2018
SRR11125386,1106,11289,3158
SRR11125443,911,5746,1882
SRR11125454,944,13808,2708
SRR11125492,938,10050,2453
SRR11125534,499,8104,1444
SRR11125535,417,7558,1380
SRR11125696,816,5298,2109
SRR11125699,176,4340,812
SRR11125711,353,5760,1294
SRR11125741,284,3127,603
SRR11125793,2186,6542,3137
SRR11125873,288,6019,1113
SRR11125908,843,11188,3143
SRR11125963,1953,4505,2386
SRR11125990,1080,8447,2571
SRR11126032,1035,2678,1320
SRR11126050,596,8578,2053
SRR11126084,110,5390,519
SRR11126153,343,2575,725
SRR11126169,1670,14249,4668
SRR11126373,1024,6819,2036
SRR11126500,1131,5112,2677
SRR11126502,145,4166,582
SRR11183314,255,6359,1089
SRR11183376,384,4138,906
SRR11183392,470,9030,1657
SRR11183450,421,3687,949
SRR11183513,1499,13291,3975
SRR11183531,202,6064,1040
SRR11183588,813,4519,1600
SRR11183590,1750,15268,4768
SRR11183679,1584,14190,4011
SRR11183680,215,5535,571
SRR11183691,611,14876,3880
SRR11183692,781,13197,3724
SRR11183716,1262,14647,2658
SRR11183723,1485,13979,3323
SRR11183824,1333,13093,3312
SRR11183877,4634,13374,5990
SRR11183878,3326,18300,6962
SRR11183883,2180,15405,5817
SRR11184031,6192,19286,8958
SRR11184094,574,10897,2131
SRR11185231,18768,55257,29583
SRR11489781,66620,155305,100900
SRR11489787,97884,177570,136833
SRR11723726,34889,53346,39454
SRR11723729,18550,43459,25323
SRR11723734,12558,35888,17937
SRR12799830,33323,110031,52516
SRR12799835,20348,86107,39932
SRR14369144,7792,36428,14236
SRR14369156,27403,82350,44449
SRR14369169,11411,30608,16412
SRR14369206,17191,81296,36427
SRR14369246,8948,42512,18113
SRR14369273,14539,60873,27430
SRR14369279,9916,53933,20768
SRR14369297,8502,34920,14768
SRR14812341,12367,58231,25054
SRR14812342,11881,58702,22751
SRR14812376,8782,71936,21950
SRR15057930,37689,100926,54901
SRR16235702,29718,53509,37658
SRR17241531,143953,331363,213512
SRR17241597,85289,208086,129417
SRR17241604,80904,184556,119393
SRR17241613,40345,119562,61847
SRR17241649,77579,207423,123732
SRR17241657,132278,295849,194045
SRR17241692,100240,221244,142563
SRR18048903,46464,63285,51090
SRR18048911,65373,97324,76803
SRR5241532,1421,16426,3561
SRR5976182,14071,91512,32516
SRR7182031,2641,23992,8565
SRR7182041,1534,16312,5847
SRR8960100,8576,52044,19867
SRR8960106,3981,24551,8608
SRR8960109,12362,45091,21064
SRR8960122,7223,31064,13918
SRR8960133,7909,20916,11705
SRR8960154,6219,40864,15080
SRR8960158,9496,46380,18616
SRR8960176,308882,416834,345191
SRR8960187,18957,75989,36855
SRR8960197,5450,19486,8703
SRR8960201,16002,57170,28151
SRR8960203,6221,26663,11572
SRR8960213,13290,62679,28518
SRR8960232,12775,31954,19763
SRR8960259,6742,26327,12109
SRR8960285,3201,20077,7007
SRR8960316,6031,33665,12962
SRR8960320,64690,160476,99026
SRR8960345,3446,23277,8999
SRR8960359,10897,44413,20693
SRR8960363,24210,57408,33312
SRR8960372,14345,37531,20326
SRR8960376,32920,116327,58593
SRR8960430,27355,70331,42618
SRR8960436,3711,21153,7538
SRR8960439,9636,32520,16728
SRR8960454,11230,20304,13848
SRR8960480,21441,72095,38760
SRR8960547,7725,18519,10965
SRR8960557,17258,47589,27132
SRR8960558,8327,25856,13176
SRR8960577,10205,23106,13759
SRR8960587,6261,18666,9236
SRR8960591,7065,31103,12157
SRR8960642,14863,64681,27653
SRR8960720,19465,43868,26540
SRR8960723,8786,39706,18968
SRR8960731,12710,32775,18055
SRR8960769,6004,21712,10157
SRR8960777,5183,11105,6777
SRR8960795,13918,43131,22617
SRR8960811,20303,74013,35117
SRR8960831,4021,23075,8502
SRR8960854,14713,71025,33228
SRR8960861,13130,38643,21343
SRR8960898,7332,25558,13334
SRR8960923,6216,26900,12275
SRR8960932,11734,29065,17034
SRR8960950,4372,29759,10756
SRR8960959,7745,32121,14546
SRR8960970,6056,31510,12171
