genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
AtH2023_SRR8655115_MAG41.fasta,1_1,0.050000000000000044,average,fastANI,1
AtH2023_SRR8655116_MAG46.fasta,1_1,0.050000000000000044,average,fastANI,1
AtH2023_SRR8655115_MAG40.fasta,2_1,0.050000000000000044,average,fastANI,2
AtH2023_SRR8655116_MAG17.fasta,2_1,0.050000000000000044,average,fastANI,2
AtH2023_SRR8655112_MAG08.fasta,3_1,0.050000000000000044,average,fastANI,3
AtH2023_SRR8655113_MAG12.fasta,3_1,0.050000000000000044,average,fastANI,3
AtH2023_SRR8655114_MAG16.fasta,3_1,0.050000000000000044,average,fastANI,3
AtH2023_SRR8655115_MAG23.fasta,3_1,0.050000000000000044,average,fastANI,3
AtH2023_SRR8655116_MAG21.fasta,3_1,0.050000000000000044,average,fastANI,3
AtH2023_SRR8655117_MAG31.fasta,3_1,0.050000000000000044,average,fastANI,3
AtH2023_SRR8655118_MAG31.fasta,3_1,0.050000000000000044,average,fastANI,3
AtH2023_SRR8655119_MAG03.fasta,3_1,0.050000000000000044,average,fastANI,3
AtH2023_SRR8655120_MAG07.fasta,3_1,0.050000000000000044,average,fastANI,3
AtH2023_SRR8655113_MAG14.fasta,4_1,0.050000000000000044,average,fastANI,4
AtH2023_SRR8655120_MAG19.fasta,4_1,0.050000000000000044,average,fastANI,4
AtH2023_SRR8960211_MAG46.fasta,5_0,0.050000000000000044,average,fastANI,5
AtH2023_SRR10209676_MAG12.fasta,6_1,0.050000000000000044,average,fastANI,6
AtH2023_SRR11489748_MAG20.fasta,6_1,0.050000000000000044,average,fastANI,6
AtH2023_SRR15057928_MAG17.fasta,6_1,0.050000000000000044,average,fastANI,6
AtH2023_SRR5976182_MAG12.fasta,6_1,0.050000000000000044,average,fastANI,6
AtH2023_SRR8960652_MAG20.fasta,6_1,0.050000000000000044,average,fastANI,6
AtH2023_ERR1135259_MAG01.fasta,7_1,0.050000000000000044,average,fastANI,7
AtH2023_ERR1135298_MAG02.fasta,7_1,0.050000000000000044,average,fastANI,7
AtH2023_ERR1135319_MAG18.fasta,7_1,0.050000000000000044,average,fastANI,7
AtH2023_SRR15057929_MAG05.fasta,7_1,0.050000000000000044,average,fastANI,7
